faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0161,INT006,English,Direct,Is early check-in available at Nile Pearl Hotel?,,early_check_in,Early check-in is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,,Easy,Early check-in at Nile Pearl Hotel is subject to room availability and hotel approval.
FAQ0162,INT006,English,Direct,Can guests check in early at Nile Pearl Hotel?,,early_check_in,Early check-in is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,,Easy,Early check-in at Nile Pearl Hotel is possible based on room availability and hotel approval.
FAQ0163,INT006,English,Direct,Does Nile Pearl Hotel permit guests to check in before the standard check-in time?,,early_check_in,Early check-in is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,,Easy,Early check-in at Nile Pearl Hotel is subject to room availability and hotel approval.
FAQ0164,INT006,English,Paraphrased,Is there a way to organize an earlier arrival and check-in at Nile Pearl Hotel?,,early_check_in,Early check-in is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,,Easy,"Certainly, early check-in at Nile Pearl Hotel is possible based on room availability and hotel approval. Please let us know your preferred date, and we will do our best to accommodate your request."
FAQ0165,INT006,English,Paraphrased,Could I request an earlier check-in at Nile Pearl Hotel?,,early_check_in,Early check-in is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,,Easy,"Certainly, we can accommodate an earlier check-in if room availability permits and with our hotel's approval. Please let us know your preferred date and time, and we will do our best to meet your request."
FAQ0166,INT006,English,Paraphrased,Can I request an early check-in at the Nile Pearl Hotel?,,early_check_in,Early check-in is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,,Easy,"Certainly, early check-in is possible based on room availability and hotel approval. Please let us know your preferred date and time, and we will do our best to accommodate your request."
FAQ0167,INT006,English,Scenario,What should a guest do if they arrive at Nile Pearl Hotel before the normal check-in time and need early check-in arrangements?,,early_check_in,Early check-in is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,,Easy,"If you arrive before the normal check-in time, please inform our front desk upon your arrival. Early check-in is subject to room availability and hotel approval. We will do our best to accommodate your request."
FAQ0168,INT006,English,Scenario,"If I book a room at Nile Pearl Hotel and need to arrive early, would it be possible to have early check-in?",,early_check_in,Early check-in is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,,Easy,Early check-in is possible upon request and subject to room availability and hotel approval.
FAQ0169,INT006,Arabic,Direct,هل يمكنني تسجيل الوصول المبكر في Nile Pearl Hotel؟,,early_check_in,Early check-in is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,,Easy,نعم، يمكن تسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توفر الغرف وموافقة الفندق.
FAQ0170,INT006,Arabic,Direct,هل يُسمح بتسجيل الوصول المبكر في Nile Pearl Hotel؟,,early_check_in,Early check-in is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,,Easy,نعم، يُسمح بتسجيل الوصول المبكر في Nile Pearl Hotel بناءً على توافر الغرف وموافقة الفندق.
FAQ0171,INT006,Arabic,Direct,هل يمكن للضيوف في Nile Pearl Hotel تسجيل الوصول مبكرًا؟؟,,early_check_in,Early check-in is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,,Easy,نعم، يمكن للضيوف تسجيل الوصول مبكرًا إذا كانت الغرف متاحة وتم الموافقة عليها من قبل الفندق.
FAQ0172,INT006,Arabic,Paraphrased,هل يمكنني الوصول إلى الغرفة في Nile Pearl Hotel قبل الوقت المعتاد وتسجيل الوصول مبكرًا؟؟,,early_check_in,Early check-in is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,,Easy,نعم، يمكن الوصول إلى الغرفة في Nile Pearl Hotel قبل الوقت المعتاد، شريطة توفر الغرف وموافقة الفندق.
