faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0769,INT001,Arabic,Scenario,بجهز بيانات الفندق لشركة النقل قبل الرحلة؛ أكتب إن Nile Pearl Hotel موجود في أنهي مدينة مصرية؟,Active,hotel_location,يقع Nile Pearl Hotel في القاهرة، مصر.,Hotel Information,hotel_information.txt,0,Easy,يقع Nile Pearl Hotel في القاهرة، مصر.
FAQ0770,INT001,English,Paraphrased,"For Nile Pearl Hotel, which Egyptian city should be identified as its location?",Active,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0771,INT001,French,Scenario,J’organise mon transfert vers l’hôtel et le chauffeur me demande la ville de destination : quelle ville dois-je lui indiquer pour le Nile Pearl Hotel ?,Active,hotel_location,"Le Nile Pearl Hotel est situé au Caire, en Égypte.",Hotel Information,hotel_information.txt,0,Easy,"Le Nile Pearl Hotel est situé au Caire, en Égypte."
FAQ0772,INT001,Russian,Direct,Местонахождение Nile Pearl Hotel в Египте: какой это город?,Active,hotel_location,"Nile Pearl Hotel расположен в Каире, Египет.",Hotel Information,hotel_information.txt,0,Easy,"Nile Pearl Hotel расположен в Каире, Египет."
FAQ0773,INT002,Arabic,Paraphrased,ضمن مقياس النجوم، في أي مستوى يندرج Nile Pearl Hotel؟,Active,hotel_category,Nile Pearl Hotel هو فندق من فئة 5 نجوم.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel هو فندق من فئة 5 نجوم.
FAQ0774,INT002,English,Scenario,I'm choosing only five-star accommodation in Cairo. Does Nile Pearl Hotel meet that requirement?,Active,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Yes. Nile Pearl Hotel is a 5-star hotel.
FAQ0775,INT002,French,Direct,Dans quelle catégorie d’étoiles se classe le Nile Pearl Hotel ?,Active,hotel_category,Le Nile Pearl Hotel est un hôtel 5 étoiles.,Hotel Information,hotel_information.txt,0,Easy,Le Nile Pearl Hotel est un hôtel 5 étoiles.
FAQ0776,INT002,Russian,Scenario,Я выбираю только отели категории пять звёзд. Подходит ли Nile Pearl Hotel под это условие?,Active,hotel_category,Nile Pearl Hotel — пятизвёздочный отель.,Hotel Information,hotel_information.txt,0,Easy,Да. Nile Pearl Hotel — пятизвёздочный отель.
FAQ0777,INT003,Arabic,Direct,هل توجد خدمة استقبال متاحة 24 ساعة يوميًا في الفندق؟,Active,reception_availability,مكتب استقبال الفندق يعمل على مدار الساعة.,Reception,hotel_information.txt,0,Easy,نعم، مكتب استقبال الفندق يعمل على مدار الساعة.
FAQ0778,INT003,English,Paraphrased,Is front-desk assistance continuously available throughout the day and night?,Active,reception_availability,Hotel reception operates 24/7.,Reception,hotel_information.txt,0,Easy,Yes. Hotel reception operates 24/7.
