faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0897,INT001,Arabic,Scenario,لو بكتب مكان الإقامة في نموذج السفر، أختار أنهي مدينة لـ Nile Pearl Hotel؟,Active,hotel_location,يقع Nile Pearl Hotel في القاهرة، مصر.,Hotel Information,hotel_information.txt,0,Easy,يقع Nile Pearl Hotel في القاهرة، مصر.
FAQ0898,INT001,English,Paraphrased,Which city in Egypt serves as the location of Nile Pearl Hotel?,Active,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0899,INT001,French,Scenario,Je complète mon formulaire de voyage : quelle ville dois-je renseigner pour le Nile Pearl Hotel ?,Active,hotel_location,"Le Nile Pearl Hotel est situé au Caire, en Égypte.",Hotel Information,hotel_information.txt,0,Easy,"Le Nile Pearl Hotel est situé au Caire, en Égypte."
FAQ0900,INT001,Russian,Direct,Какой город Египта нужно указать для местоположения Nile Pearl Hotel?,Active,hotel_location,"Nile Pearl Hotel расположен в Каире, Египет.",Hotel Information,hotel_information.txt,0,Easy,"Nile Pearl Hotel расположен в Каире, Египет."
FAQ0901,INT002,Arabic,Paraphrased,حسب نظام النجوم، ما فئة Nile Pearl Hotel؟,Active,hotel_category,Nile Pearl Hotel هو فندق من فئة 5 نجوم.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel هو فندق من فئة 5 نجوم.
FAQ0902,INT002,English,Scenario,I'm comparing only five-star hotels. Does Nile Pearl Hotel qualify?,Active,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0903,INT002,French,Direct,"En nombre d'étoiles, comment est classé le Nile Pearl Hotel ?",Active,hotel_category,Le Nile Pearl Hotel est un hôtel 5 étoiles.,Hotel Information,hotel_information.txt,0,Easy,Le Nile Pearl Hotel est un hôtel 5 étoiles.
FAQ0904,INT002,Russian,Scenario,Я рассматриваю только пятизвёздочные отели. Подходит ли Nile Pearl Hotel?,Active,hotel_category,Nile Pearl Hotel — пятизвёздочный отель.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel — пятизвёздочный отель.
FAQ0905,INT003,Arabic,Direct,هل مكتب الاستقبال متاح في كل أوقات اليوم؟,Active,reception_availability,مكتب استقبال الفندق يعمل على مدار الساعة.,Reception,hotel_information.txt,0,Easy,نعم، مكتب استقبال الفندق يعمل على مدار الساعة.
FAQ0906,INT003,English,Paraphrased,Is reception service available at any hour?,Active,reception_availability,Hotel reception operates 24/7.,Reception,hotel_information.txt,0,Easy,Yes. Hotel reception operates 24/7.
FAQ0907,INT003,French,Scenario,"Si j'arrive pendant la nuit, pourrai-je encore joindre la réception ?",Active,reception_availability,La réception de l'hôtel est ouverte 24h/24 et 7j/7.,Reception,hotel_information.txt,0,Easy,Oui. La réception de l'hôtel est ouverte 24h/24 et 7j/7.
FAQ0908,INT003,Russian,Paraphrased,Доступна ли стойка регистрации в любое время?,Active,reception_availability,Стойка регистрации отеля работает круглосуточно.,Reception,hotel_information.txt,0,Easy,Да. Стойка регистрации отеля работает круглосуточно.
FAQ0909,INT004,Arabic,Scenario,لو عايز أوصل وقت بداية الدخول العادي، أكون في الفندق الساعة كام؟,Active,check_in_time,وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.,Check-in / Check-out,check_in_check_out.txt,0,Easy,وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.
FAQ0910,INT004,English,Direct,What time can guests normally begin standard check-in?,Active,check_in_time,Standard check-in time is 3:00 PM.,Check-in / Check-out,check_in_check_out.txt,0,Easy,Standard check-in time is 3:00 PM.
FAQ0911,INT004,French,Paraphrased,À partir de quelle heure les arrivées standard sont-elles enregistrées ?,Active,check_in_time,L'enregistrement normal commence à 15h00.,Check-in / Check-out,check_in_check_out.txt,0,Easy,L'enregistrement normal commence à 15h00.
FAQ0912,INT004,Russian,Direct,В какое время начинается стандартный заезд гостей?,Active,check_in_time,Стандартное время регистрации заезда — 15:00.,Check-in / Check-out,check_in_check_out.txt,0,Easy,Стандартное время регистрации заезда — 15:00.
FAQ0913,INT005,Arabic,Scenario,بجهز خطة يوم السفر؛ الساعة كام بيكون موعد تسجيل المغادرة الطبيعي؟,Active,check_out_time,وقت تسجيل المغادرة المعتاد هو الساعة 12:00 ظهرًا.,Check-in / Check-out,check_in_check_out.txt,0,Easy,وقت تسجيل المغادرة المعتاد هو الساعة 12:00 ظهرًا.
FAQ0914,INT005,English,Paraphrased,By what time should guests normally finish checking out?,Active,check_out_time,The standard check-out time is 12:00 PM.,Check-in / Check-out,check_in_check_out.txt,0,Easy,The standard check-out time is 12:00 PM.
FAQ0915,INT005,French,Direct,Quel est l'horaire normal de check-out ?,Active,check_out_time,L'heure normale de départ est 12h00.,Check-in / Check-out,check_in_check_out.txt,0,Easy,L'heure normale de départ est 12h00.
FAQ0916,INT005,Russian,Scenario,Я планирую поездку в аэропорт после отеля. Когда обычно нужно освободить номер?,Active,check_out_time,Стандартное время регистрации выезда — 12:00.,Check-in / Check-out,check_in_check_out.txt,0,Easy,Стандартное время регистрации выезда — 12:00.
FAQ0917,INT006,Arabic,Paraphrased,هل ينفع أطلب تسجيل وصول قبل الموعد المعتاد بشرط توفر الغرفة وموافقة الفندق؟,Active,early_check_in,يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على توفر الغرفة وموافقة الفندق.,Check-in / Check-out,check_in_check_out.txt,0,Medium,نعم، يمكن طلب تسجيل الوصول المبكر، ويعتمد ذلك على توفر الغرفة وموافقة الفندق.
FAQ0918,INT006,English,Scenario,My flight arrives much earlier than check-in time. Can I ask the hotel to let me check in early?,Active,early_check_in,Early check-in can be requested and is subject to room availability and hotel approval.,Check-in / Check-out,check_in_check_out.txt,0,Medium,"Yes. Early check-in can be requested, subject to room availability and hotel approval."
