faq_id,intent_id,language,question_type,question,status,intent_name,ground_truth,category,source,attempts,difficulty,answer
FAQ0865,INT001,Arabic,Direct,في أي مدينة داخل مصر يمكن العثور على Nile Pearl Hotel؟,Active,hotel_location,يقع Nile Pearl Hotel في القاهرة، مصر.,Hotel Information,hotel_information.txt,0,Easy,يقع Nile Pearl Hotel في القاهرة، مصر.
FAQ0866,INT001,English,Scenario,I need to tell my driver the city where my hotel is located. Which city is Nile Pearl Hotel in?,Active,hotel_location,"Nile Pearl Hotel is located in Cairo, Egypt.",Hotel Information,hotel_information.txt,0,Easy,"Nile Pearl Hotel is located in Cairo, Egypt."
FAQ0867,INT001,French,Paraphrased,Quelle est la ville égyptienne où est établi le Nile Pearl Hotel ?,Active,hotel_location,"Le Nile Pearl Hotel est situé au Caire, en Égypte.",Hotel Information,hotel_information.txt,0,Easy,"Le Nile Pearl Hotel est situé au Caire, en Égypte."
FAQ0868,INT001,Russian,Scenario,Мне нужно указать город отеля в маршруте. Какой город следует указать для Nile Pearl Hotel?,Active,hotel_location,"Nile Pearl Hotel расположен в Каире, Египет.",Hotel Information,hotel_information.txt,0,Easy,"Nile Pearl Hotel расположен в Каире, Египет."
FAQ0869,INT002,Arabic,Scenario,أنا باختار إقامة خمس نجوم فقط؛ هل Nile Pearl Hotel مناسب للتصنيف ده؟,Active,hotel_category,Nile Pearl Hotel هو فندق من فئة 5 نجوم.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel هو فندق من فئة 5 نجوم.
FAQ0870,INT002,English,Direct,How is Nile Pearl Hotel rated in terms of stars?,Active,hotel_category,Nile Pearl Hotel is a 5-star hotel.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel is a 5-star hotel.
FAQ0871,INT002,French,Scenario,"Pour mon séjour, je ne retiens que les hôtels cinq étoiles. Le Nile Pearl Hotel en fait-il partie ?",Active,hotel_category,Le Nile Pearl Hotel est un hôtel 5 étoiles.,Hotel Information,hotel_information.txt,0,Easy,Le Nile Pearl Hotel est un hôtel 5 étoiles.
FAQ0872,INT002,Russian,Paraphrased,Какова звёздная категория Nile Pearl Hotel?,Active,hotel_category,Nile Pearl Hotel — пятизвёздочный отель.,Hotel Information,hotel_information.txt,0,Easy,Nile Pearl Hotel — пятизвёздочный отель.
FAQ0873,INT003,Arabic,Paraphrased,هل يمكن الاعتماد على وجود موظفي الاستقبال في جميع أوقات اليوم؟,Active,reception_availability,مكتب استقبال الفندق يعمل على مدار الساعة.,Reception,hotel_information.txt,0,Easy,نعم، مكتب استقبال الفندق يعمل على مدار الساعة.
FAQ0874,INT003,English,Scenario,"If an issue comes up late at night, can I still reach the hotel reception?",Active,reception_availability,Hotel reception operates 24/7.,Reception,hotel_information.txt,0,Easy,Yes. Hotel reception operates 24/7.
FAQ0875,INT003,French,Direct,La réception fonctionne-t-elle vingt-quatre heures sur vingt-quatre ?,Active,reception_availability,La réception de l'hôtel est ouverte 24h/24 et 7j/7.,Reception,hotel_information.txt,0,Easy,Oui. La réception de l'hôtel est ouverte 24h/24 et 7j/7.
FAQ0876,INT003,Russian,Paraphrased,Остаётся ли стойка регистрации доступной днём и ночью?,Active,reception_availability,Стойка регистрации отеля работает круглосуточно.,Reception,hotel_information.txt,0,Easy,Да. Стойка регистрации отеля работает круглосуточно.
FAQ0877,INT004,Arabic,Scenario,بوصل الفندق بعد الظهر وعايز أرتب وقتي؛ متى يبدأ تسجيل الوصول العادي؟,Active,check_in_time,وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.,Check-in / Check-out,check_in_check_out.txt,0,Easy,وقت تسجيل الوصول المعتاد هو الساعة 3:00 مساءً.
FAQ0878,INT004,English,Paraphrased,What time marks the beginning of the hotel's normal check-in period?,Active,check_in_time,Standard check-in time is 3:00 PM.,Check-in / Check-out,check_in_check_out.txt,0,Easy,Standard check-in time is 3:00 PM.
