batch_faq_id,master_faq_id,batch_intent,master_intent,batch_language,master_language,similarity,batch_question,master_question
FAQ0545,FAQ0481,INT001,INT001,Arabic,Arabic,0.694215,أرغب في حجز إقامة في القاهرة، فهل Nile Pearl Hotel موجود هناك؟,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟
FAQ0545,FAQ0013,INT001,INT001,Arabic,Arabic,0.641509,أرغب في حجز إقامة في القاهرة، فهل Nile Pearl Hotel موجود هناك؟,في أي جزء من القاهرة يقع فندق Nile Pearl Hotel؟
FAQ0545,FAQ0449,INT001,INT001,Arabic,Arabic,0.592,أرغب في حجز إقامة في القاهرة، فهل Nile Pearl Hotel موجود هناك؟,إذا كنت أخطط للإقامة في القاهرة، ففي أي مدينة يقع Nile Pearl Hotel؟
FAQ0546,FAQ0001,INT001,INT001,English,English,0.835443,Where in Egypt is the Nile Pearl Hotel located?,Where is Nile Pearl Hotel located?
FAQ0546,FAQ0482,INT001,INT001,English,English,0.75,Where in Egypt is the Nile Pearl Hotel located?,What city is the Nile Pearl Hotel based in?
FAQ0546,FAQ0003,INT001,INT001,English,English,0.735632,Where in Egypt is the Nile Pearl Hotel located?,In which city is Nile Pearl Hotel located?
FAQ0547,FAQ0451,INT001,INT001,French,French,0.921569,Dans quelle ville d'Égypte se trouve le Nile Pearl Hotel ?,Dans quelle ville se trouve le Nile Pearl Hotel ?
FAQ0547,FAQ0019,INT001,INT001,French,French,0.819048,Dans quelle ville d'Égypte se trouve le Nile Pearl Hotel ?,Dans quelle zone se trouve l'hôtel Nile Pearl Hotel ?
FAQ0547,FAQ0259,INT001,INT001,French,French,0.8,Dans quelle ville d'Égypte se trouve le Nile Pearl Hotel ?,Dans quel quartier de la ville se trouve le Nile Pearl Hotel ?
FAQ0548,FAQ0031,INT001,INT001,Russian,Russian,0.881119,"Если я планирую поездку в Египет, в каком городе находится Nile Pearl Hotel?","Если я планирую поездку в Египет, где находится отель Nile Pearl Hotel?"
FAQ0548,FAQ0032,INT001,INT001,Russian,Russian,0.82716,"Если я планирую поездку в Египет, в каком городе находится Nile Pearl Hotel?","Вы планируете поездку в Египет и интересуетесь, в каком городе находится Nile Pearl Hotel?"
FAQ0548,FAQ0516,INT001,INT001,Russian,Russian,0.746032,"Если я планирую поездку в Египет, в каком городе находится Nile Pearl Hotel?",В каком египетском городе находится Nile Pearl Hotel?
FAQ0549,FAQ0046,INT002,INT002,Arabic,Arabic,0.666667,هل Nile Pearl Hotel مصنف كفندق خمس نجوم؟,كيف يُصنَّف Nile Pearl Hotel من حيث مستوى النجوم؟
FAQ0549,FAQ0325,INT002,INT002,Arabic,Arabic,0.658537,هل Nile Pearl Hotel مصنف كفندق خمس نجوم؟,ما فئة Nile Pearl Hotel ضمن تصنيفات الفنادق؟
FAQ0549,FAQ0453,INT002,INT002,Arabic,Arabic,0.658537,هل Nile Pearl Hotel مصنف كفندق خمس نجوم؟,ما تصنيف Nile Pearl Hotel من حيث عدد النجوم؟
FAQ0550,FAQ0290,INT002,INT001,English,English,0.617284,I am looking for a highly rated hotel. Is the Nile Pearl Hotel a five-star property?,"If I am looking for the hotel in Cairo, where exactly is Nile Pearl Hotel located?"
FAQ0550,FAQ0518,INT002,INT002,English,English,0.540881,I am looking for a highly rated hotel. Is the Nile Pearl Hotel a five-star property?,I am comparing hotels by rating. How many stars does the Nile Pearl Hotel have?
FAQ0550,FAQ0482,INT002,INT001,English,English,0.532258,I am looking for a highly rated hotel. Is the Nile Pearl Hotel a five-star property?,What city is the Nile Pearl Hotel based in?
FAQ0551,FAQ0487,INT002,INT002,French,French,0.786325,Le Nile Pearl Hotel est-il classé parmi les établissements cinq étoiles ?,Le Nile Pearl Hotel est-il classé cinq étoiles ?
FAQ0551,FAQ0519,INT002,INT002,French,French,0.655172,Le Nile Pearl Hotel est-il classé parmi les établissements cinq étoiles ?,Le Nile Pearl Hotel possède-t-il cinq étoiles ?
FAQ0551,FAQ0327,INT002,INT002,French,French,0.57971,Le Nile Pearl Hotel est-il classé parmi les établissements cinq étoiles ?,Comment le Nile Pearl Hotel est-il classé selon son niveau hôtelier ?
FAQ0552,FAQ0186,INT002,INT006,Russian,Russian,0.571429,Является ли Nile Pearl Hotel пятизвездочным отелем?,Разрешает ли отель Nile Pearl Hotel ранний заезд?
FAQ0552,FAQ0058,INT002,INT002,Russian,Russian,0.534653,Является ли Nile Pearl Hotel пятизвездочным отелем?,Какая категория отеля является для Nile Pearl Hotel?
FAQ0552,FAQ0063,INT002,INT002,Russian,Russian,0.533333,Является ли Nile Pearl Hotel пятизвездочным отелем?,"Если я выбираю Nile Pearl Hotel для проживания в Каире, сколько звезд имеет этот отель?"
FAQ0553,FAQ0393,INT003,INT003,Arabic,Arabic,0.518519,هل يكون مكتب الاستقبال متاحًا إذا احتجت إلى المساعدة في أي ساعة؟,هل يمكنني التواصل مع مكتب الاستقبال في أي وقت؟
FAQ0553,FAQ0265,INT003,INT003,Arabic,Arabic,0.509434,هل يكون مكتب الاستقبال متاحًا إذا احتجت إلى المساعدة في أي ساعة؟,هل مكتب استقبال الفندق يعمل على مدار الساعة؟
FAQ0553,FAQ0489,INT003,INT003,Arabic,Arabic,0.509434,هل يكون مكتب الاستقبال متاحًا إذا احتجت إلى المساعدة في أي ساعة؟,هل يمكن التواصل مع استقبال الفندق في أي وقت؟
FAQ0554,FAQ0298,INT003,INT003,English,English,0.666667,Is the hotel's reception desk available at any time of day?,Can I reach the reception staff at any time of the day?
FAQ0554,FAQ0394,INT003,INT003,English,English,0.633663,Is the hotel's reception desk available at any time of day?,Can I contact the reception desk at any time?
FAQ0554,FAQ0266,INT003,INT003,English,English,0.576923,Is the hotel's reception desk available at any time of day?,Does the hotel reception operate 24 hours a day?
FAQ0555,FAQ0331,INT003,INT003,French,French,0.674699,"Si j'ai besoin d'aide très tôt le matin, la réception sera-t-elle accessible ?","Si j'ai besoin d'aide à l'hôtel tard dans la nuit, un membre de la réception sera-t-il disponible ?"
FAQ0555,FAQ0427,INT003,INT003,French,French,0.533333,"Si j'ai besoin d'aide très tôt le matin, la réception sera-t-elle accessible ?","Si j'arrive très tard à l'hôtel, y aura-t-il encore un réceptionniste disponible ?"
FAQ0555,FAQ0426,INT003,INT003,French,English,0.473684,"Si j'ai besoin d'aide très tôt le matin, la réception sera-t-elle accessible ?","If I arrive at the hotel very late, will a reception employee still be available?"
FAQ0556,FAQ0300,INT003,INT003,Russian,Russian,0.850746,Можно ли обратиться на стойку регистрации в любое время суток?,Могу ли я обратиться к сотрудникам стойки регистрации в любое время суток?
FAQ0556,FAQ0396,INT003,INT003,Russian,Russian,0.752137,Можно ли обратиться на стойку регистрации в любое время суток?,Могу ли я связаться со стойкой регистрации в любое время?
FAQ0556,FAQ0460,INT003,INT003,Russian,Russian,0.57971,Можно ли обратиться на стойку регистрации в любое время суток?,"Если мне понадобится помощь ночью, смогу ли я обратиться на стойку регистрации?"
