issue,details
STATUS_MISMATCH,"{'faq_id': 'FAQ0001', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0001', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0002', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0002', 'actual': '2'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0003', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0003', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0004', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0004', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0005', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0005', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0006', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0006', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0007', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0007', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0008', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0008', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0009', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0009', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0010', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0010', 'actual': '2'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0011', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0011', 'actual': '5'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0012', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0012', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0013', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0013', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0014', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0014', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0015', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0015', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0016', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0016', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0017', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0017', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0018', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0018', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0019', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0019', 'actual': '6'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0020', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0020', 'actual': '2'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0021', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0021', 'actual': '6'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0022', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0022', 'actual': '6'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0023', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0023', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0024', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0024', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0025', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0025', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0026', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0026', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0027', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0027', 'actual': '1'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0028', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0028', 'actual': '2'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0029', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0029', 'actual': '6'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0030', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0030', 'actual': '6'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0031', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0031', 'actual': '6'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0032', 'actual': 'valid'}"
ATTEMPTS_MISMATCH,"{'faq_id': 'FAQ0032', 'actual': '2'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0033', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0034', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0035', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0036', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0037', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0038', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0039', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0040', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0041', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0042', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0043', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0044', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0045', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0046', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0047', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0048', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0049', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0050', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0051', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0052', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0053', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0054', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0055', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0056', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0057', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0058', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0059', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0060', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0061', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0062', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0063', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0064', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0065', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0066', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0067', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0068', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0069', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0070', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0071', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0072', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0073', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0074', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0075', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0076', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0077', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0078', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0079', 'actual': 'valid'}"
STATUS_MISMATCH,"{'faq_id': 'FAQ0080', 'actual': 'valid'}"
