check,details
MASTER_EXISTS,PASS
BATCH10_EXISTS,PASS
BATCH11_EXISTS,PASS
BATCH12_EXISTS,PASS
BATCH13_EXISTS,PASS
BATCH14_EXISTS,PASS
MASTER_608_GOLD_CHECKPOINT,PASS
MASTER_ROW_COUNT_608,PASS
MASTER_SCHEMA,PASS
MASTER_ID_SEQUENCE,PASS
MASTER_UNIQUE_IDS,PASS
RELEASE_608_BASELINE_EXACT,PASS
RELEASE_608_MANIFEST,PASS
BATCH14_ROW_COUNT,PASS
BATCH14_SCHEMA,PASS
BATCH14_ID_SEQUENCE,PASS
BATCH14_UNIQUE_IDS,PASS
BATCH14_REQUIRED_FIELDS,PASS
BATCH14_INTERNAL_EXACT_DUPLICATES,PASS
BATCH14_MASTER_EXACT_DUPLICATES,PASS
BATCH14_INTERNAL_NORMALIZED_DUPLICATES,PASS
BATCH14_MASTER_NORMALIZED_DUPLICATES,PASS
BATCH14_ID_OVERLAP,PASS
BATCH10_PRESERVATION,PASS
BATCH11_PRESERVATION,PASS
BATCH12_PRESERVATION,PASS
BATCH13_PRESERVATION,PASS
BATCH14_RELOAD_EXACT,PASS
FACTUAL_GATE_ZERO_ERRORS,PASS
RAG_GATE_ZERO_ERRORS,PASS
SEMANTIC_EXACT_MASTER_ZERO,PASS
SEMANTIC_NORMALIZED_MASTER_ZERO,PASS
SEMANTIC_INTERNAL_NORMALIZED_ZERO,PASS
SEMANTIC_CROSS_INTENT_ZERO,PASS
SAME_INTENT_REVIEW_PRESENT,17 candidate rows
PLANNED_MERGE_ROW_COUNT_640,PASS
PLANNED_MERGE_ID_SEQUENCE,PASS
PLANNED_MERGE_UNIQUE_IDS,PASS
PLANNED_MASTER_608_PRESERVED,PASS
PLANNED_BATCH14_EXACT_APPEND,PASS
MASTER_STILL_608_GOLD_BEFORE_MERGE,PASS
