issue,details,faq_id,intent_id,language,question,ground_truth,answer,source
INT002_ANSWER_STARS,FAQ0033,FAQ0033,INT002,English,How many stars is Nile Pearl Hotel rated?,Nile Pearl Hotel is a 5-star hotel.,Nile Pearl Hotel is rated 5 stars.,hotel_information.txt
INT006_ANSWER_AVAILABILITY,FAQ0177,FAQ0177,INT006,French,Le check-in anticipé est-il disponible au Nile Pearl Hotel?,Early check-in is subject to room availability and hotel approval.,L'early check-in est possible au Nile Pearl Hotel si la disponibilité de la chambre le permet et avec l'approbation de l'hôtel.,check_in_check_out.txt
INT006_ANSWER_AVAILABILITY,FAQ0180,FAQ0180,INT006,French,Peut-on demander un enregistrement anticipé au Nile Pearl Hotel avant l'heure normale?,Early check-in is subject to room availability and hotel approval.,L'arrivée anticipée au Nile Pearl Hotel est possible si la chambre est disponible et avec l'approbation de l'hôtel.,check_in_check_out.txt
INT006_ANSWER_APPROVAL,FAQ0185,FAQ0185,INT006,Russian,Доступна ли ранняя регистрация заезда в Nile Pearl Hotel?,Early check-in is subject to room availability and hotel approval.,Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,check_in_check_out.txt
INT006_ANSWER_APPROVAL,FAQ0186,FAQ0186,INT006,Russian,Разрешает ли отель Nile Pearl Hotel ранний заезд?,Early check-in is subject to room availability and hotel approval.,Ранний заезд в отель Nile Pearl Hotel возможен при наличии свободных номеров и с согласия отеля.,check_in_check_out.txt
INT006_ANSWER_APPROVAL,FAQ0190,FAQ0190,INT006,Russian,"Если я приеду значительно раньше стандартного времени, могу ли я попросить раннее заселение в Nile Pearl Hotel?",Early check-in is subject to room availability and hotel approval.,Здравствуйте! Ранняя регистрация заезда в Nile Pearl Hotel возможна при наличии свободных номеров и с согласия отеля.,check_in_check_out.txt
INT007_ANSWER_AVAILABILITY,FAQ0201,FAQ0201,INT007,Arabic,هل يمكنني الاحتفاظ بالغرفة لفترة أطول بعد موعد تسجيل الخروج في Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,check_in_check_out.txt
INT007_ANSWER_ADDITIONAL_FEE,FAQ0201,FAQ0201,INT007,Arabic,هل يمكنني الاحتفاظ بالغرفة لفترة أطول بعد موعد تسجيل الخروج في Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك مصاريف إضافية.,check_in_check_out.txt
INT007_ANSWER_AVAILABILITY,FAQ0202,FAQ0202,INT007,Arabic,هل يمكنني طلب تسجيل خروج متأخر في Nile Pearl Hotel، وما الشروط المطلوبة؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن طلب تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت هناك متوفرية، ولكن قد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
INT007_ANSWER_AVAILABILITY,FAQ0203,FAQ0203,INT007,Arabic,ما المتطلبات اللازمة لطلب تسجيل خروج متأخر في Nile Pearl Hotel؟,Late check-out is subject to availability and may incur an additional fee.,نعم، يمكن الحصول على تسجيل خروج متأخر في Nile Pearl Hotel إذا كانت المتوفرية موجودة، ولكن قد يترتب على ذلك رسوم إضافية.,check_in_check_out.txt
