batch_faq_id,master_faq_id,batch_intent,master_intent,batch_language,master_language,similarity,batch_question,master_question
FAQ0609,FAQ0353,INT001,INT001,Arabic,Arabic,0.602564,إذا كنت في مصر وأريد الإقامة في Nile Pearl Hotel، ففي أي مدينة سأجده؟,إذا وصلت إلى القاهرة وأردت التوجه مباشرة إلى Nile Pearl Hotel، فأي موقع أو منطقة أبحث عنها؟
FAQ0609,FAQ0481,INT001,INT001,Arabic,Arabic,0.59375,إذا كنت في مصر وأريد الإقامة في Nile Pearl Hotel، ففي أي مدينة سأجده؟,إذا كنت أبحث عن فندق في القاهرة، فهل يقع Nile Pearl Hotel هناك؟
FAQ0609,FAQ0111,INT001,INT004,Arabic,Arabic,0.551181,إذا كنت في مصر وأريد الإقامة في Nile Pearl Hotel، ففي أي مدينة سأجده؟,هل يمكنني معرفة وقت تسجيل الوصول المعتاد في Nile Pearl Hotel؟
FAQ0610,FAQ0450,INT001,INT001,English,English,0.903226,Which Egyptian city is home to the Nile Pearl Hotel?,Which city is home to the Nile Pearl Hotel?
FAQ0610,FAQ0514,INT001,INT001,English,English,0.744186,Which Egyptian city is home to the Nile Pearl Hotel?,Which Egyptian city should I travel to if I am staying at the Nile Pearl Hotel?
FAQ0610,FAQ0004,INT001,INT001,English,English,0.708333,Which Egyptian city is home to the Nile Pearl Hotel?,In which city can I find the Nile Pearl Hotel?
FAQ0611,FAQ0295,INT001,INT002,French,French,0.666667,"Pour séjourner au Nile Pearl Hotel, dans quelle ville égyptienne dois-je me rendre ?",Je prévois de séjourner au Nile Pearl Hotel ; quelle est la catégorie de cet hôtel ?
FAQ0611,FAQ0467,INT001,INT005,French,French,0.622754,"Pour séjourner au Nile Pearl Hotel, dans quelle ville égyptienne dois-je me rendre ?","Si je termine mon séjour au Nile Pearl Hotel, à quelle heure dois-je libérer ma chambre ?"
FAQ0611,FAQ0151,INT001,INT005,French,French,0.577778,"Pour séjourner au Nile Pearl Hotel, dans quelle ville égyptienne dois-je me rendre ?","Si je termine mon séjour au Nile Pearl Hotel aujourd'hui, à quelle heure dois-je effectuer mon départ?"
FAQ0612,FAQ0484,INT001,INT001,Russian,Russian,0.942308,В каком городе Египта расположен отель Nile Pearl Hotel?,В каком городе Египта расположен Nile Pearl Hotel?
FAQ0612,FAQ0027,INT001,INT001,Russian,Russian,0.804348,В каком городе Египта расположен отель Nile Pearl Hotel?,Где расположен отель Nile Pearl Hotel?
FAQ0612,FAQ0029,INT001,INT001,Russian,Russian,0.796117,В каком городе Египта расположен отель Nile Pearl Hotel?,В какой части города расположен Nile Pearl Hotel?
FAQ0613,FAQ0453,INT002,INT002,Arabic,Arabic,0.924731,ما تصنيف الفندق Nile Pearl Hotel من حيث عدد النجوم؟,ما تصنيف Nile Pearl Hotel من حيث عدد النجوم؟
FAQ0613,FAQ0046,INT002,INT002,Arabic,Arabic,0.734694,ما تصنيف الفندق Nile Pearl Hotel من حيث عدد النجوم؟,كيف يُصنَّف Nile Pearl Hotel من حيث مستوى النجوم؟
FAQ0613,FAQ0357,INT002,INT002,Arabic,Arabic,0.666667,ما تصنيف الفندق Nile Pearl Hotel من حيث عدد النجوم؟,ما مستوى تصنيف Nile Pearl Hotel بين الفنادق؟
FAQ0614,FAQ0518,INT002,INT002,English,English,0.573427,I am considering the hotel for a premium stay. How many stars is it?,I am comparing hotels by rating. How many stars does the Nile Pearl Hotel have?
FAQ0614,FAQ0040,INT002,INT002,English,English,0.511364,I am considering the hotel for a premium stay. How many stars is it?,"While choosing a hotel for my trip to Cairo, I'm considering Nile Pearl Hotel. How many stars is this hotel rated?"
FAQ0614,FAQ0302,INT002,INT004,English,English,0.471429,I am considering the hotel for a premium stay. How many stars is it?,I will arrive at the hotel on my check-in day; when can I normally check in?
FAQ0615,FAQ0050,INT002,INT002,French,French,0.860465,Combien d'étoiles possède le Nile Pearl Hotel ?,Combien d'étoiles a l'hôtel Nile Pearl Hotel?
FAQ0615,FAQ0017,INT002,INT001,French,French,0.65,Combien d'étoiles possède le Nile Pearl Hotel ?,Où se trouve l'hôtel Nile Pearl Hotel?
FAQ0615,FAQ0475,INT002,INT007,French,French,0.645833,Combien d'étoiles possède le Nile Pearl Hotel ?,Le départ tardif est-il possible au Nile Pearl Hotel ?
FAQ0616,FAQ0488,INT002,INT002,Russian,Russian,0.817518,"Если для меня важна категория отеля, сколько звёзд у Nile Pearl Hotel?","Если для меня важна категория пять звёзд, подходит ли Nile Pearl Hotel?"
FAQ0616,FAQ0456,INT002,INT002,Russian,Russian,0.64,"Если для меня важна категория отеля, сколько звёзд у Nile Pearl Hotel?",Сколько звёзд у Nile Pearl Hotel?
