check,details
MASTER_EXISTS,PASS
BATCH10_EXISTS,PASS
BATCH11_EXISTS,PASS
BATCH12_EXISTS,PASS
MASTER_544_GOLD_CHECKPOINT,PASS
MASTER_ROW_COUNT_544,PASS
MASTER_SCHEMA,PASS
MASTER_ID_SEQUENCE,PASS
MASTER_UNIQUE_IDS,PASS
BATCH12_ROW_COUNT,PASS
BATCH12_SCHEMA,PASS
BATCH12_ID_SEQUENCE,PASS
BATCH12_UNIQUE_IDS,PASS
BATCH12_REQUIRED_FIELDS,PASS
BATCH12_INTERNAL_EXACT_DUPLICATES,PASS
BATCH12_EXACT_DUPLICATES_WITH_MASTER,PASS
BATCH12_INTERNAL_NORMALIZED_DUPLICATES,PASS
BATCH12_NORMALIZED_DUPLICATES_WITH_MASTER,PASS
BATCH12_ID_OVERLAP,PASS
BATCH10_PRESERVATION,PASS
BATCH11_PRESERVATION,PASS
POST_MERGE_576_ID_PLAN,PASS
FACTUAL_GATE_ZERO_ERRORS,PASS
RAG_GATE_ZERO_ERRORS,PASS
SEMANTIC_EXACT_DUPLICATES_ZERO,PASS
SEMANTIC_NORMALIZED_DUPLICATES_ZERO,PASS
SEMANTIC_INTERNAL_NORMALIZED_ZERO,PASS
SEMANTIC_CROSS_INTENT_ZERO,PASS
SAME_INTENT_REVIEW_PRESENT,19 candidates
MASTER_NO_UNEXPECTED_CHANGE,PASS
