issue,details
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0170', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}"
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0171', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}"
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0173', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}"
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0175', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}"
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0180', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}"
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0185', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}"
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0186', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}"
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0190', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0201', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0204', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0206', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0209', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0209', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0210', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0211', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0215', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0216', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0219', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0223', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0224', 'group': ['availability', 'disponibilite', 'disponibilité', 'توفر', 'التوافر', 'налич']}"
INT008_ANSWER_IDENTIFICATION,FAQ0229
INT008_ANSWER_IDENTIFICATION,FAQ0237
INT008_ANSWER_IDENTIFICATION,FAQ0244
INT008_ANSWER_IDENTIFICATION,FAQ0245
INT006_GT_FACT,"{'faq_id': 'FAQ0309', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}"
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0309', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}"
INT006_GT_FACT,"{'faq_id': 'FAQ0310', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}"
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0310', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}"
INT006_GT_FACT,"{'faq_id': 'FAQ0311', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}"
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0311', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}"
INT006_GT_FACT,"{'faq_id': 'FAQ0312', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}"
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0312', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}"
INT007_GT_FACT,"{'faq_id': 'FAQ0313', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0313', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_GT_FACT,"{'faq_id': 'FAQ0314', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0314', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_GT_FACT,"{'faq_id': 'FAQ0315', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0315', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_GT_FACT,"{'faq_id': 'FAQ0316', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0316', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0344', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0345', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0347', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
INT006_ANSWER_FACT,"{'faq_id': 'FAQ0376', 'group': ['approval', 'approbation', 'موافقة', 'одобр']}"
INT007_ANSWER_FACT,"{'faq_id': 'FAQ0377', 'group': ['additional fee', 'additional fees', 'frais supplementaires', 'frais supplémentaires', 'رسوم اضافية', 'رسوم إضافية', 'дополнитель']}"
